nObserver,cond,nEsti,nDictator,prefDictator,estim,RT,accuracy
27,1,4,11,0.690909090909091,0.672852,5.222719,0.981942909090909
27,1,1,5,0.872727272727273,0.532227,15.913024,0.659499727272727
27,1,2,5,0.872727272727273,0.839844,4.062259,0.967116727272727
27,1,3,5,0.872727272727273,0.883789,3.890758,0.988938272727273
27,1,4,5,0.872727272727273,0.910156,4.329556,0.962571272727273
27,1,1,1,0.509090909090909,0.514648,4.464503,0.994442909090909
27,1,2,1,0.509090909090909,0.751953,6.925079,0.757137909090909
27,1,3,1,0.509090909090909,0.658203,4.981048,0.850887909090909
27,1,4,1,0.509090909090909,0.511719,4.416466,0.997371909090909
27,2,1,13,0.921212121212121,1,4.937549,0.921212121212121
27,2,2,13,0.921212121212121,0.927734,8.269102,0.993478121212121
27,2,3,13,0.921212121212121,1,3.415969,0.921212121212121
27,2,4,13,0.921212121212121,1,4.05413,0.921212121212121
27,2,1,15,0.824242424242424,0.1,2.404679,0.275757575757576
27,2,2,15,0.824242424242424,0.599609,5.209009,0.775366575757576
27,2,3,15,0.824242424242424,0.787109,4.923388,0.962866575757576
27,2,4,15,0.824242424242424,0.1,5.608433,0.275757575757576
27,2,1,10,0.115151515151515,0.804688,6.299719,0.310463515151515
27,2,2,10,0.115151515151515,0,6.933921,0.884848484848485
27,2,3,10,0.115151515151515,0.1,3.292803,0.984848484848485
27,2,4,10,0.115151515151515,0,3.466304,0.884848484848485
27,2,1,3,0.721212121212121,1,2.979594,0.721212121212121
27,2,2,3,0.721212121212121,0.913086,4.030738,0.808126121212121
27,2,3,3,0.721212121212121,1,3.064052,0.721212121212121
27,2,4,3,0.721212121212121,0.552734,4.065499,0.831521878787879
28,2,1,4,1,0.766602,22.276584,0.766602
28,2,2,4,1,0.21875,24.656603,0.21875
28,2,3,4,1,0.722656,8.041302,0.722656
28,2,4,4,1,0.918945,11.566427,0.918945
28,2,1,8,0.672727272727273,0.573242,23.788342,0.900514727272727
28,2,2,8,0.672727272727273,0.59375,10.06369,0.921022727272727
28,2,3,8,0.672727272727273,0.362305,6.87934,0.689577727272727
28,2,4,8,0.672727272727273,0.59668,5.935471,0.923952727272727
28,2,1,12,0.478787878787879,0.845703,8.210719,0.633084878787879
28,2,2,12,0.478787878787879,0.265625,14.19947,0.786837121212121
28,2,3,12,0.478787878787879,0.508789,13.684109,0.969998878787879
28,2,4,12,0.478787878787879,0.253906,6.906229,0.775118121212121
28,2,1,7,0.951515151515152,0.1,7.133538,0.148484848484848
28,2,2,7,0.951515151515152,0.792969,5.773794,0.841453848484848
28,2,3,7,0.951515151515152,0.87207,4.915942,0.920554848484848
28,2,4,7,0.951515151515152,0.766602,4.513224,0.815086848484848
28,4,1,11,0.690909090909091,0.807617,8.193865,0.883292090909091
28,4,2,11,0.690909090909091,0.728516,7.762947,0.962393090909091
28,4,3,11,0.690909090909091,0.661133,5.512002,0.970223909090909
28,4,4,11,0.690909090909091,0.672852,6.476329,0.981942909090909
28,4,1,1,0.509090909090909,0.50293,10.095481,0.993839090909091
28,4,2,1,0.509090909090909,0.582031,5.066948,0.927059909090909
28,4,3,1,0.509090909090909,0.482422,10.114405,0.973331090909091
28,4,4,1,0.509090909090909,0.705078,6.058419,0.804012909090909
28,4,1,6,1,0.318359,4.017792,0.318359
28,4,2,6,1,0.831055,5.857231,0.831055
28,4,3,6,1,0.678711,5.769753,0.678711
28,4,4,6,1,0.526367,10.07552,0.526367
28,4,1,5,0.872727272727273,0.353516,2.804455,0.480788727272727
28,4,2,5,0.872727272727273,0.801758,4.390883,0.929030727272727
28,4,3,5,0.872727272727273,0.576172,4.713338,0.703444727272727
28,4,4,5,0.872727272727273,0.666992,10.162198,0.794264727272727
28,3,1,16,0.951515151515152,0.769531,3.684662,0.818015848484848
28,3,2,16,0.951515151515152,0.845703,3.04789,0.894187848484848
28,3,3,16,0.951515151515152,0.713867,4.717919,0.762351848484848
28,3,4,16,0.951515151515152,0.760742,6.619847,0.809226848484848
28,3,1,14,0.563636363636364,0.584961,4.766229,0.978675363636364
28,3,2,14,0.563636363636364,0.570312,5.930771,0.993324363636364
28,3,3,14,0.563636363636364,0.420898,5.172704,0.857261636363636
28,3,4,14,0.563636363636364,0.658203,3.95459,0.905433363636364
28,3,1,9,0.757575757575758,0.567383,2.796699,0.809807242424242
28,3,2,9,0.757575757575758,0.50293,7.103335,0.745354242424242
28,3,3,9,0.757575757575758,0.831055,3.60813,0.926520757575758
28,3,4,9,0.757575757575758,0.576172,3.465888,0.818596242424242
28,3,1,2,0.624242424242424,0.681641,2.830267,0.942601424242424
28,3,2,2,0.624242424242424,0.801758,3.832952,0.822484424242424
28,3,3,2,0.624242424242424,0.637695,6.647086,0.986547424242424
28,3,4,2,0.624242424242424,0.661133,7.590189,0.963109424242424
28,1,1,3,0.721212121212121,0.649414,6.953072,0.928201878787879
28,1,2,3,0.721212121212121,0.611328,4.974555,0.890115878787879
28,1,3,3,0.721212121212121,0.775391,5.558389,0.945821121212121
28,1,4,3,0.721212121212121,0.59375,5.835861,0.872537878787879
28,1,1,13,0.921212121212121,0.602539,2.555386,0.681326878787879
28,1,2,13,0.921212121212121,0.737305,5.056948,0.816092878787879
28,1,3,13,0.921212121212121,0.836914,3.982928,0.915701878787879
28,1,4,13,0.921212121212121,0.857422,5.278242,0.936209878787879
28,1,1,15,0.824242424242424,0.1,1.596673,0.275757575757576
28,1,2,15,0.824242424242424,0.59082,15.551988,0.766577575757576
28,1,3,15,0.824242424242424,0.77832,5.57474,0.954077575757576
28,1,4,15,0.824242424242424,0.611328,5.147917,0.787085575757576
28,1,1,10,0.115151515151515,0.1,2.641182,0.984848484848485
28,1,2,10,0.115151515151515,0.072266,4.056415,0.957114484848485
28,1,3,10,0.115151515151515,0.086914,5.518851,0.971762484848485
28,1,4,10,0.115151515151515,0.139648,5.97693,0.975503515151515
29,4,1,15,0.824242424242424,0.628906,24.293304,0.804663575757576
29,4,2,15,0.824242424242424,0.631836,28.493268,0.807593575757576
29,4,3,15,0.824242424242424,0.863281,13.051406,0.960961424242424
29,4,4,15,0.824242424242424,0.959961,8.061804,0.864281424242424
29,4,1,16,0.951515151515152,1,22.802051,0.951515151515152
29,4,2,16,0.951515151515152,0.936523,4.750111,0.985007848484848
29,4,3,16,0.951515151515152,0.87793,9.105139,0.926414848484848
29,4,4,16,0.951515151515152,1,3.900329,0.951515151515152
29,4,1,12,0.478787878787879,1,6.199594,0.478787878787879
29,4,2,12,0.478787878787879,0.587891,4.065795,0.890896878787879
29,4,3,12,0.478787878787879,0.948242,4.271359,0.530545878787879
29,4,4,12,0.478787878787879,0.901367,4.501022,0.577420878787879
29,4,1,3,0.721212121212121,0.508789,11.040557,0.787576878787879
29,4,2,3,0.721212121212121,0.532227,14.466161,0.811014878787879
29,4,3,3,0.721212121212121,0.731445,7.345569,0.989767121212121
29,4,4,3,0.721212121212121,0.716797,3.849065,0.995584878787879
29,1,1,5,0.872727272727273,0.666992,8.37189,0.794264727272727
