nDictator,ch,RT,splitL,splitR
4,-1,0.974646,0.853243,0.285495
4,1,0.699604,0.293011,1
4,1,1.466471,0.491548,0.817047
4,-1,0.933007,0.782913,0.565558
4,1,1.324753,0.582383,0.732197
4,1,1.074541,0.420578,0.873079
4,1,0.974714,0.088208,0.493685
4,-1,0.866338,0.774319,0.497745
4,1,1.024504,0.695034,0.920333
4,1,0.824623,0.111678,0.680561
4,1,1.19975,0.315844,0.782414
4,-1,0.899674,0.40699,0.203103
4,-1,1.333582,0.480097,0.399455
4,-1,1.124775,0.893085,0.114766
4,-1,1.158057,0.973822,0.632024
4,-1,0.774653,0.386173,0.220506
4,-1,0.891407,0.736766,0.588828
4,1,0.683407,0.327721,0.930277
4,-1,0.649624,0.645766,0.089134
4,1,1.200209,0.003762,0.28273
4,1,0.850126,0.040718,0.598281
4,-1,0.566765,0.429157,0.081084
4,1,2.016382,0.382593,0.581605
4,-1,1.733181,0.991625,0.486475
4,1,0.66685,0.093456,0.909243
4,-1,1.674655,0.777766,0.599444
4,1,1.866999,0.11391,0.262245
4,-1,0.766806,0.204523,0
4,1,0.791369,0.039611,0.710426
4,-1,0.616767,0.278008,0.084839
4,1,1.63296,0.524222,0.585652
4,1,0.707974,0,0.910613
4,1,1.058012,0.488142,0.698591
4,-1,1.283007,0.960567,0.391391
4,-1,2.091379,0.613004,0.54163
4,-1,1.266261,0.888074,0.615297
4,1,3.600028,0.340267,0.394245
4,1,0.816828,0,0.21773
4,-1,1.249565,0.896913,0.205259
4,-1,0.724656,0.817996,0.122344
4,-1,1.224785,0.395643,0.298678
4,-1,1.100635,0.629874,0.273008
4,1,1.024713,0.114818,0.312874
4,1,1.041365,0.198987,0.9647
4,1,0.833013,0,0.600746
4,-1,1.458136,0.886532,0.71753
4,-1,1.584108,0.328755,0.020718
4,-1,1.38293,0.706833,0.23479
4,-1,2.224723,0.793618,0.70302
4,-1,0.77448,1,0.5879
4,1,0.716294,0.408444,1
4,1,1.24972,0.320028,0.578595
4,-1,1.067219,0.90979,0.751602
4,1,0.966379,0.497151,0.899844
4,-1,0.917324,0.888978,0.293234
4,1,0.933033,0.717298,0.904552
4,-1,0.966831,0.203492,0.136361
4,1,0.816339,0.178559,0.780181
4,1,1.891339,0.399999,0.510317
4,1,0.857956,0,1
4,-1,0.874689,0.583249,0.376124
4,1,0.941326,0.321299,0.707854
4,-1,0.807985,0.797254,0.381972
4,1,0.857964,0.20233,0.739861
4,-1,1.457941,1,0.691148
4,-1,1.10803,0.970814,0.227112
4,1,0.749665,0.282299,1
4,-1,1.950348,0.16889,0.087498
4,-1,1.300248,0.402986,0.089832
4,-1,1.350209,0.11191,0
4,-1,1.150246,0.706602,0.402628
4,1,0.716313,0.080041,0.571034
4,1,1.041405,0.418167,0.780668
4,-1,0.716476,0.195493,0
4,1,1.183095,0.195444,0.990202
4,-1,0.650065,0.537315,0.016012
4,1,0.900129,0.012293,0.794142
4,-1,1.624636,0.791775,0.713828
4,1,1.208082,0.376504,0.876651
4,-1,1.258114,1,0.102587
4,1,1.541304,0.340489,0.530917
4,1,0.991361,0.189763,0.882341
4,1,1.000642,0,0.521524
4,-1,0.87466,0.397073,0.008741
4,1,0.741327,0.105762,0.406172
4,-1,0.883448,0.30889,0.018093
4,-1,1.016373,0.9926,0.272563
4,1,0.774638,0.009887,0.778678
4,-1,0.808006,0.584643,0.232387
4,1,1.433142,0.263087,0.504061
4,1,0.850645,0,0.1309
4,1,0.866309,0.492092,1
4,-1,0.499398,0.901484,0
4,-1,0.85802,0.889539,0.598118
4,-1,0.799671,0.463255,0.195599
4,-1,0.607937,0.68946,0
4,-1,1.049671,0.879521,0.499814
4,1,0.81681,0.098,0.19393
4,1,0.924697,0.339142,0.714476
4,1,0.79967,0.245142,0.424222
4,1,1.049707,0.212824,0.305261
4,1,0.699623,0,0.72804
4,-1,0.924729,0.703793,0.392849
4,1,0.599646,0.131665,0.670013
5,-1,1.216423,0.593263,0.781948
5,-1,1.424573,0.711129,0.382857
5,-1,1.699625,0.502578,0.985972
5,1,1.916812,0.297437,1
5,1,0.950613,0.018387,0.435175
5,-1,1.341414,0.903963,0.229868
5,-1,1.166193,0.733844,1
5,-1,0.916793,1,0.189721
5,1,1.032979,0,0.597824
5,-1,0.87468,1,0.09695
5,1,0.824499,0.101864,0.387617
5,-1,0.749649,0.512762,0.22523
5,1,1.04971,0.319016,0.716899
5,-1,1.050201,0.354112,0
5,-1,2.008005,0.375521,0.989031
5,1,1.350706,0.29554,0.816819
5,-1,1.099727,0.477147,0.771272
5,1,1.200205,0,0.086372
5,-1,2.483083,0.984505,0.889714
5,-1,1.116219,0.909363,0.234059
5,-1,0.774672,0.555153,0.328699
5,1,0.624612,0.302946,0.398195
5,1,1.116363,0.268298,0.877627
