nObserver,cond,nDictator,chDictator,RTDictator,splitL,splitR,chObserver,RTObserver,lastEstim,duration,selfChObserver,selfRTObserver,similarity
4,4,12,-1,3.925044,0.403519,0.605737,-1,2.942392,0.40918,1,1,2.028282,0.824242424242424
4,4,12,1,0.599629,0.999124,0.706646,1,0.757017,0.40918,0,-1,1.787089,0.824242424242424
4,4,13,-1,1.066324,0.897506,0.689459,1,0.832455,0.31543,1,-1,1.205497,0.733333333333333
4,4,13,1,0.382928,0,0.792983,-1,3.773196,0.31543,0,-1,2.006651,0.733333333333333
4,4,13,-1,0.391199,1,0.334265,1,1.052771,0.31543,0,-1,1.258428,0.733333333333333
4,4,13,-1,1.141368,0.882208,0.695151,1,1.187427,0.31543,1,-1,1.205497,0.733333333333333
4,1,5,-1,0.407941,0.513428,0,-1,1.006861,0.669922,0,1,1.03667,0.781818181818182
4,1,5,-1,0.416196,1,0.324547,-1,1.712603,0.669922,0,-1,1.258428,0.781818181818182
4,1,5,1,1.916812,0.297437,1,1,1.793089,0.669922,1,-1,1.258428,0.781818181818182
4,1,5,-1,1.799626,0.807223,0.475038,-1,1.328516,0.669922,1,1,1.247256,0.781818181818182
4,1,14,-1,2.983229,0.329952,0.80315,-1,1.656169,0.558594,1,-1,2.648118,0.909090909090909
4,1,14,1,0.71632,0,0.526892,1,0.960332,0.558594,0,1,1.03667,0.909090909090909
4,1,14,-1,0.71676,0.431464,0.094208,-1,0.775692,0.558594,0,-1,1.616979,0.909090909090909
4,1,14,1,2.083073,0.288362,0.722026,-1,1.093574,0.558594,1,1,1.959954,0.909090909090909
4,1,8,-1,0.858004,0.600316,0,-1,0.995789,0.587891,0,1,1.31671,0.981818181818182
4,1,8,1,2.983227,0.427113,0.693287,-1,0.649961,0.587891,1,-1,1.486165,0.981818181818182
4,1,8,-1,4.267403,0.614735,0.689625,-1,0.598144,0.587891,1,1,1.886635,0.981818181818182
4,1,8,1,0.833484,0,0.184209,1,1.517276,0.587891,0,-1,1.928996,0.981818181818182
4,1,6,1,2.616435,0.612767,0.876776,1,1.316801,0.939453,1,1,1.322696,0.654545454545455
4,1,6,-1,4.366728,0.994777,0.595016,-1,0.503774,0.939453,1,1,1.899429,0.654545454545455
4,1,6,-1,1.016852,0.305985,0.071196,-1,0.738395,0.939453,0,-1,0.816895,0.654545454545455
4,1,6,-1,1.000143,0.107352,0.003723,-1,0.620382,0.939453,0,-1,1.042536,0.654545454545455
