nObserver,ch,RT,splitL,splitR
7,1,2.397992,0.795991,0.636343
7,-1,1.700857,0.424739,0.00837
7,-1,3.18529,0.483913,1
7,-1,3.209939,0.878875,0.221438
7,1,1.799377,1,0.707952
7,-1,1.407616,0.478722,0.318841
7,-1,2.371579,0.700543,0.090354
7,-1,1.297244,0.51414,0.618553
7,1,2.117409,0.309551,0.834502
7,-1,1.467791,0.806104,0.969593
8,1,0.943931,0.080059,0.391839
8,-1,1.307858,0.72768,0.491092
8,1,0.975409,0.017421,0.681068
8,-1,0.68637,0.473067,0
8,-1,1.429841,0.291339,0.004019
8,-1,1.723075,0.821901,0.71744
8,-1,0.707426,0.905647,0.37492
8,1,0.71369,0.510099,0.597576
8,-1,0.940822,0.918543,0.072747
8,-1,0.791858,1,0.468452
8,1,0.737305,0.120472,0.517443
8,1,0.946269,0.180033,0.39777
8,-1,1.546661,0.716688,0.114493
8,-1,0.671764,0.172849,0
8,1,1.142576,0.219498,0.974403
8,1,0.851601,0,0.400935
8,1,1.702774,0.394579,0.715807
8,1,1.240596,0.395553,0.503853
8,1,2.270026,0.864794,0.838614
8,1,1.063199,0.984096,0.585167
8,-1,1.129419,0.593177,0.194697
8,1,1.252801,0.405009,0.760157
8,-1,0.535127,0.495764,0.288555
8,-1,0.834415,1,0.395516
8,1,0.576982,0.077572,0.292153
8,1,0.928755,0.803,0.59805
8,-1,1.005293,0.990562,0.807626
8,1,0.566036,0.129013,0.618633
8,1,0.757009,0.092016,0.228039
8,-1,0.739512,0.607978,0.015746
8,-1,0.627239,0.771535,0.308963
8,-1,0.997795,0.988822,0
8,1,1.453688,0.921554,0.725492
8,1,0.751975,0.168603,0.807541
8,1,1.532387,0.335373,1
8,-1,1.892884,0.12395,0
8,1,2.648114,0.99215,0.740408
8,-1,0.879802,0.999844,0.103447
8,1,0.819059,0.308024,0.609539
8,-1,0.895606,0.795847,0.516289
8,1,1.992318,0.602666,0.709225
8,-1,0.660695,0.711917,0.184133
8,-1,0.745599,0.918049,0.585564
8,-1,0.480631,0.8991,0.196665
8,-1,1.18137,0.914018,1
8,-1,0.605327,0.905712,0.292985
8,1,0.448794,0,0.86104
8,-1,0.898547,0.800269,0
8,-1,1.08397,0.497812,0.220532
8,1,1.169465,0.193751,0.298366
8,1,1.199979,0.298522,0.423183
8,1,1.30027,0.421735,0.618229
8,-1,0.600672,0.759594,0.084241
8,-1,0.568562,0.707498,0.282572
8,1,1.661168,0.519566,0.900175
9,-1,1.099535,0.691754,0.487308
9,1,0.666677,0.174429,0.987374
9,1,0.5759,0.009557,0.897522
9,1,0.460189,0.328968,0.983575
9,-1,0.58098,0.386266,0
9,1,0.432803,0.067405,0.458565
9,1,0.551543,0.478974,0.911593
9,-1,0.57566,0.523423,0.402756
9,-1,0.368412,1,0.43055
9,-1,0.332406,0.515612,0.150331
9,1,0.493418,0.195922,0.831059
9,-1,0.374109,0.107543,0
9,1,0.705032,0.622391,0.971218
9,-1,0.473776,0.695783,0.303427
9,1,0.377898,0,0.621957
9,1,0.401139,0.009395,0.300049
9,-1,0.385804,0.298997,0.197606
9,1,0.537234,0.909103,1
9,1,0.394697,0.390306,0.700825
9,1,0.455671,0.006842,0.200268
9,1,0.429874,0.600408,0.709355
9,1,0.402523,0.200882,0.923206
9,-1,0.349046,0.884074,0.105045
9,-1,0.266391,0.611091,0.285592
9,-1,0.473978,0.899364,0.598823
9,-1,0.329394,0.791057,0.394231
9,-1,0.346416,0.696545,0.230874
9,1,0.422416,0.098305,0.306947
9,1,0.927833,0.227421,0.391406
9,-1,0.308299,0.916127,0.305427
9,1,0.493469,0.619327,0.82906
9,1,0.420064,0.10312,0.412827
9,-1,0.427273,0.799028,0.001432
9,-1,0.495984,0.93784,0.802654
9,-1,0.820075,0.620112,0.479165
9,-1,0.329731,0.682143,0.110069
9,1,0.381121,0.068208,0.809334
9,-1,0.351634,0.487461,0.29143
9,-1,0.357432,0.987091,0.706539
9,-1,0.531184,0.416984,0.58729
9,-1,0.402411,0.996551,0.002861
9,-1,0.325241,0.578044,0.108182
9,1,0.388245,0.105172,0.992189
9,-1,0.369965,0.381573,0.292424
9,-1,0.312793,0.512607,0.013536
9,-1,0.436921,0.90844,0.42364
9,1,0.526147,0.78452,1
9,-1,0.37396,0.693025,0.793998
9,1,0.431082,0.894582,0.69676
9,-1,0.441537,0.569046,0.181413
9,1,0.482168,0.321259,0.813699
9,-1,0.706922,0.177117,0.116097
9,1,0.589639,0.511253,0.982315
9,-1,0.329341,0.706988,0.018708
9,1,0.48285,0.473705,0.795224
10,-1,0.974152,0.50292,0.907067
10,-1,2.252633,0.802977,0.685742
10,-1,1.108651,0.805244,0.200671
10,1,1.400985,0.107758,0.52981
10,1,1.280489,0.192358,0.40635
10,1,1.431621,1,0.618386
10,-1,0.806349,0.868689,0.386152
10,1,0.876621,0,0.504564
